,26
all_adult_hospital_inpatient_bed_occupied_7_day_coverage,7
inpatient_beds_used_covid_7_day_coverage,7
total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_coverage,7
total_adult_patients_hospitalized_confirmed_covid_7_day_coverage,7
total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_coverage,7
total_pediatric_patients_hospitalized_confirmed_covid_7_day_coverage,7
inpatient_beds_7_day_coverage,7
total_icu_beds_7_day_coverage,7
total_staffed_adult_icu_beds_7_day_coverage,7
icu_beds_used_7_day_coverage,7
staffed_adult_icu_bed_occupancy_7_day_coverage,7
staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_coverage,7
staffed_icu_adult_patients_confirmed_covid_7_day_coverage,7
total_patients_hospitalized_confirmed_influenza_7_day_coverage,7
icu_patients_confirmed_influenza_7_day_coverage,7
total_patients_hospitalized_confirmed_influenza_and_covid_7_day_coverage,7
previous_day_admission_adult_covid_confirmed_7_day_sum,8
previous_day_admission_adult_covid_confirmed_18-19_7_day_sum,0.0
previous_day_admission_adult_covid_confirmed_20-29_7_day_sum,0.0
previous_day_admission_adult_covid_confirmed_30-39_7_day_sum,0.0
previous_day_admission_adult_covid_confirmed_40-49_7_day_sum,0.0
previous_day_admission_adult_covid_confirmed_50-59_7_day_sum,-999999.0
previous_day_admission_adult_covid_confirmed_60-69_7_day_sum,-999999.0
previous_day_admission_adult_covid_confirmed_70-79_7_day_sum,-999999.0
previous_day_admission_adult_covid_confirmed_80+_7_day_sum,4.0
previous_day_admission_adult_covid_confirmed_unknown_7_day_sum,0.0
previous_day_admission_pediatric_covid_confirmed_7_day_sum,-999999
previous_day_covid_ED_visits_7_day_sum,171.0
previous_day_admission_adult_covid_suspected_7_day_sum,0
previous_day_admission_adult_covid_suspected_18-19_7_day_sum,0.0
previous_day_admission_adult_covid_suspected_20-29_7_day_sum,0.0
previous_day_admission_adult_covid_suspected_30-39_7_day_sum,0.0
previous_day_admission_adult_covid_suspected_40-49_7_day_sum,0.0
previous_day_admission_adult_covid_suspected_50-59_7_day_sum,0.0
previous_day_admission_adult_covid_suspected_60-69_7_day_sum,0.0
previous_day_admission_adult_covid_suspected_70-79_7_day_sum,0.0
previous_day_admission_adult_covid_suspected_80+_7_day_sum,0.0
previous_day_admission_adult_covid_suspected_unknown_7_day_sum,0.0
previous_day_admission_pediatric_covid_suspected_7_day_sum,0.0
previous_day_total_ED_visits_7_day_sum,709.0
previous_day_admission_influenza_confirmed_7_day_sum,0.0
geocoded_hospital_address,POINT (-87.6989 34.74645)
hhs_ids,[C010019-A]
previous_day_admission_adult_covid_confirmed_7_day_coverage,7
previous_day_admission_pediatric_covid_confirmed_7_day_coverage,7
previous_day_admission_adult_covid_suspected_7_day_coverage,7
previous_day_admission_pediatric_covid_suspected_7_day_coverage,7
previous_week_personnel_covid_vaccinated_doses_administered_7_day,
total_personnel_covid_vaccinated_doses_none_7_day,
total_personnel_covid_vaccinated_doses_one_7_day,
total_personnel_covid_vaccinated_doses_all_7_day,
previous_week_patients_covid_vaccinated_doses_one_7_day,
previous_week_patients_covid_vaccinated_doses_all_7_day,
all_pediatric_inpatient_bed_occupied_7_day_avg,5.6
all_pediatric_inpatient_bed_occupied_7_day_coverage,7
all_pediatric_inpatient_bed_occupied_7_day_sum,39
all_pediatric_inpatient_beds_7_day_avg,16.0
all_pediatric_inpatient_beds_7_day_coverage,7
all_pediatric_inpatient_beds_7_day_sum,112
previous_day_admission_pediatric_covid_confirmed_0_4_7_day_sum,0.0
previous_day_admission_pediatric_covid_confirmed_12_17_7_day_sum,0.0
previous_day_admission_pediatric_covid_confirmed_5_11_7_day_sum,-999999.0
previous_day_admission_pediatric_covid_confirmed_unknown_7_day_sum,0.0
staffed_icu_pediatric_patients_confirmed_covid_7_day_avg,0.0
staffed_icu_pediatric_patients_confirmed_covid_7_day_coverage,7
staffed_icu_pediatric_patients_confirmed_covid_7_day_sum,0.0
staffed_pediatric_icu_bed_occupancy_7_day_avg,0.0
staffed_pediatric_icu_bed_occupancy_7_day_coverage,7
staffed_pediatric_icu_bed_occupancy_7_day_sum,0.0
total_staffed_pediatric_icu_beds_7_day_avg,0.0
total_staffed_pediatric_icu_beds_7_day_coverage,7
total_staffed_pediatric_icu_beds_7_day_sum,0.0
